59.680581	0.000000	-0.734078	-0.000000
59.677842	0.571851	-0.734045	-0.007034
59.669623	1.143649	-0.733944	-0.014067
59.655925	1.715342	-0.733775	-0.021099
59.636750	2.286877	-0.733539	-0.028129
59.612100	2.858203	-0.733236	-0.035156
59.581977	3.429266	-0.732866	-0.042180
59.546383	4.000014	-0.732428	-0.049201
59.505322	4.570395	-0.731923	-0.056216
59.458797	5.140357	-0.731351	-0.063227
59.406813	5.709846	-0.730711	-0.070232
59.349375	6.278811	-0.730005	-0.077230
59.286488	6.847200	-0.729231	-0.084221
59.218157	7.414960	-0.728391	-0.091205
59.144390	7.982039	-0.727483	-0.098180
59.065192	8.548386	-0.726509	-0.105146
58.980571	9.113947	-0.725468	-0.112103
58.890535	9.678672	-0.724361	-0.119049
58.795092	10.242508	-0.723187	-0.125984
58.694251	10.805404	-0.721947	-0.132908
58.588020	11.367308	-0.720640	-0.139819
58.476411	11.928168	-0.719267	-0.146718
58.359432	12.487932	-0.717828	-0.153603
58.237096	13.046550	-0.716323	-0.160474
58.109412	13.603971	-0.714753	-0.167331
